perplexity,perplexity_std,char_std,word_std,intrinsic_dimensions,temporal_burstiness,syntactic_burstiness,wd_burstiness,semantic_burstiness,sentence_burstiness,word_burstiness,syntax_burstiness,unique_words,syntactic_depth,syntactic_repetitiveness,ai,title,topic,section,words,chars
14.17709351,4.366573466,24.98826171,4.49793341,11.83621637,1.94347042,23.93198634,0.004435523,0.157640375,0.980376452,0.042329264,0.113208701,0.545816733,6.181818182,0.462645347,1,Ice shelf,Physical sciences,Glaciology,227,1514
8.537232399,5.441277255,61.93564134,9.584874672,9.098061455,3.718249568,9.541723294,0.004128589,0.125102711,1.474089069,0.036921302,0.106256819,0.519434629,5.7,0.463270719,1,Giza pyramid complex,Arts,Africa,247,1549
11.75891972,9.292459976,29.07631508,4.556910368,10.2521853,1.75317927,10.44463277,0.004565971,0.125606494,0.907227616,0.037601903,0.072562172,0.597457627,6.555555556,0.458563456,1,Heinrich Harrer,People,Human geographers and cartographers,206,1262
10.25823402,5.581752624,44.06483859,5.678688229,10.15357708,2.346508268,29.03008331,0.003123265,0.085663999,1.649488491,0.04527987,0.12523821,0.518358531,6.95,0.460186568,1,Ebola,Biology and health sciences,Infectious disease,391,2800
8.439199448,3.506936846,43.64786137,6.12825877,9.853009249,1.758486287,11.49361208,0.004529783,0.169856844,1.625674218,0.035512947,0.083132933,0.520325203,7.111111111,0.431234993,1,Claudia Cardinale,People,Europe_2,206,1338
11.8937664,7.156228527,47.72403308,6.820618252,12.75764334,1.838432018,18.01255661,0.003897433,0.143018902,1.95877193,0.037338661,0.146856868,0.524495677,6.583333333,0.443686087,1,Blur (band),People,Alternative rock,287,1890
11.84758568,6.90873463,45.80798068,6.283659364,9.203729136,2.811306503,17.07529976,0.003470288,0.187107965,1.707432432,0.036822335,0.079792448,0.510791367,6.625,0.482202245,1,Jan Matejko,People,Modern era,370,2418
13.48746967,7.619009418,38.58914937,5.035081014,9.38070107,3.451074766,14.34841629,0.003809962,0.190832729,1.105696484,0.037284359,0.080606176,0.497326203,7.571428571,0.463463855,1,Edward the Elder,People,Monarchs of England,321,2172
11.37007618,3.85818736,26.61244487,3.823255674,9.177928972,1.410437566,13.32219662,0.004698541,0.105315429,0.703505645,0.03876621,0.066584963,0.612903226,6.777777778,0.526436672,1,Heterosexuality,Everyday life,Sexuality and gender,187,1456
11.25431728,3.90611852,25.60253495,3.559981656,9.573304418,1.013231756,18.70551091,0.004269387,0.160491645,0.764778325,0.050376495,0.082670823,0.582089552,5.5,0.486668717,1,Inline skates,Everyday life,Sports equipment,232,1569
8.4251194,2.806354462,41.15763134,6.377042157,12.60117548,1.921568627,12.07263123,0.004356802,0.174022848,1.90625,0.040067652,0.089147966,0.56223176,6.222222222,0.486756769,1,History of Asia,History,History by region,192,1310
